X,C0,C1,C2
0,1000000,0,0
1,994764,0,0
2,989473,0,0
3,984124,0,0
4,978717,0,0
5,973249,0,0
6,967719,0,0
7,962125,0,0
8,956466,0,0
9,950738,0,0
10,944941,0,0
11,939071,0,0
12,933128,0,0
13,927107,0,0
14,921008,0,0
15,914826,0,0
16,908560,0,0
17,902207,0,0
18,895762,0,0
19,889223,0,0
20,882587,0,0
21,875850,0,0
22,869007,0,0
23,862054,0,0
24,854988,0,0
25,847803,0,0
26,840494,0,0
27,833055,0,0
28,825482,0,0
29,817767,0,0
30,809903,0,0
31,801884,0,0
32,793701,0,0
33,785345,250000,0
34,776808,329877,0
35,768079,387961,0
36,759147,435275,0
37,750000,475913,0
38,740624,511918,0
39,731004,544477,0
40,721125,574349,0
41,710967,602056,0
42,700510,627972,0
43,689731,652375,0
44,678604,675480,0
45,667100,697457,0
46,655185,718441,0
47,642820,738544,0
48,629961,757858,0
49,616553,776461,0
50,602536,794418,0
51,587834,811786,0
52,572357,828614,0
53,555995,844944,0
54,538609,860814,0
55,520021,876256,0
56,500000,891301,0
57,478233,905975,0
58,454280,920300,0
59,427494,934298,0
60,396850,947989,0
61,360562,961389,0
62,314980,974515,0
63,250000,987381,0
64,0,1000000,0
65,0,987381,0
66,0,974515,0
67,0,961389,0
68,0,947989,0
69,0,934298,0
70,0,920300,0
71,0,905975,0
72,0,891301,0
73,0,876256,0
74,0,860814,0
75,0,844944,0
76,0,828614,0
77,0,811786,0
78,0,794418,0
79,0,776461,0
80,0,757858,0
81,0,738544,0
82,0,718441,0
83,0,697457,0
84,0,675480,0
85,0,652375,0
86,0,627972,0
87,0,602056,0
88,0,574349,0
89,0,544477,0
90,0,511918,0
91,0,475913,0
92,0,435275,0
93,0,387961,0
94,0,329877,0
95,0,250000,0
96,0,0,797182
97,0,0,805432
98,0,0,813517
99,0,0,821446
100,0,0,829226
101,0,0,836863
102,0,0,844363
103,0,0,851734
104,0,0,858980
105,0,0,866106
106,0,0,873118
107,0,0,880019
108,0,0,886815
109,0,0,893508
110,0,0,900103
111,0,0,906604
112,0,0,913013
113,0,0,919333
114,0,0,925569
115,0,0,931722
116,0,0,937795
117,0,0,943791
118,0,0,949713
119,0,0,955561
120,0,0,961340
121,0,0,967050
122,0,0,972694
123,0,0,978273
124,0,0,983790
125,0,0,989246
126,0,0,994643
127,0,0,999982
