X,C0,C1,C2
0,993377,6623,0
1,992247,7753,0
2,990926,9074,0
3,989381,10619,0
4,987577,12423,0
5,985471,14529,0
6,983014,16986,0
7,980150,19850,0
8,976815,23185,0
9,972935,27065,0
10,968426,31574,0
11,963194,36806,0
12,957134,42866,0
13,950128,49872,0
14,942046,57954,0
15,932748,67252,0
16,922080,77920,0
17,909884,90116,0
18,895995,104005,0
19,880246,119754,0
20,862479,137521,0
21,842547,157453,0
22,820328,179672,0
23,795734,204266,0
24,768722,231278,0
25,739309,260691,0
26,707578,292422,0
27,673690,326310,0
28,637884,362116,0
29,600479,399521,0
30,561864,438136,0
31,522485,477515,0
32,482824,517176,0
33,443379,556621,0
34,404635,595365,0
35,367044,632956,0
36,331003,668997,0
37,296842,703158,0
38,264811,735189,0
39,235081,764919,0
40,207745,792255,0
41,182828,817172,0
42,160295,839705,0
43,140064,859936,0
44,122014,877986,0
45,106004,893996,0
46,91875,908125,0
47,79462,920538,0
48,68599,931401,0
49,59126,940874,0
50,50889,949111,0
51,43747,956253,0
52,37567,962433,0
53,32231,967769,0
54,27631,972369,0
55,23672,976328,0
56,20268,979732,0
57,17344,982656,0
58,14837,985163,0
59,12687,987313,0
60,10845,989155,0
61,9268,990732,0
62,7918,992082,0
63,6764,993236,0
64,0,993377,6623
65,0,992247,7753
66,0,990926,9074
67,0,989381,10619
68,0,987577,12423
69,0,985471,14529
70,0,983014,16986
71,0,980150,19850
72,0,976815,23185
73,0,972935,27065
74,0,968426,31574
75,0,963194,36806
76,0,957134,42866
77,0,950128,49872
78,0,942046,57954
79,0,932748,67252
80,0,922080,77920
81,0,909884,90116
82,0,895995,104005
83,0,880246,119754
84,0,862479,137521
85,0,842547,157453
86,0,820328,179672
87,0,795734,204266
88,0,768722,231278
89,0,739309,260691
90,0,707578,292422
91,0,673690,326310
92,0,637884,362116
93,0,600479,399521
94,0,561864,438136
95,0,522485,477515
96,0,482824,517176
97,0,443379,556621
98,0,404635,595365
99,0,367044,632956
100,0,331003,668997
101,0,296842,703158
102,0,264811,735189
103,0,235081,764919
104,0,207745,792255
105,0,182828,817172
106,0,160295,839705
107,0,140064,859936
108,0,122014,877986
109,0,106004,893996
110,0,91875,908125
111,0,79462,920538
112,0,68599,931401
113,0,59126,940874
114,0,50889,949111
115,0,43747,956253
116,0,37567,962433
117,0,32231,967769
118,0,27631,972369
119,0,23672,976328
120,0,20268,979732
121,0,17344,982656
122,0,14837,985163
123,0,12687,987313
124,0,10845,989155
125,0,9268,990732
126,0,7918,992082
127,0,6764,993236
